8499 28094
611 1143 164
4058 3159 438
2019 404 -282
3024 2012 467
8406 5516 -803
7595 4390 555
1323 5432 91
7932 3579 19
1140 501 -742
4366 4455 555
2903 7554 908
2583 4498 -859
277 4339 819
6321 6959 -16
3841 3650 -96
4722 7447 -109
4167 48 798
1582 340 -331
5459 6467 -252
676 7969 717
4779 8430 -79
5204 1475 -360
8004 890 686
4053 4192 -867
6740 981 947
2475 2534 728
581 6153 -215
8248 2771 432
1457 1183 -803
7001 631 671
1827 5417 -563
6775 1295 80
3614 4643 -396
6728 1655 -476
4135 4548 -401
4711 228 -596
5302 5783 581
728 4132 125
221 4983 -607
3279 6992 -455
2783 7938 -462
1381 5733 241
1688 4483 -874
3168 3786 -509
8368 2008 646
2942 4947 912
2 7541 -657
8162 3342 -334
7267 2232 -838
4750 4033 -399
4337 4741 496
2346 1494 -499
2974 3134 -27
2188 3597 21
2093 3010 -666
4760 6266 -442
2119 5924 -836
2670 7721 -753
6885 3523 -224
5117 1087 -393
6586 2254 954
1938 3282 -526
6446 5671 470
6420 2532 -253
3428 2804 687
215 2435 874
3414 4324 310
3665 1479 -933
1060 3309 598
1412 716 242
1986 8103 -489
8158 3300 -853
5627 2972 -936
4847 8365 -680
7406 1331 -176
6937 764 465
413 4005 29
2516 119 -679
6180 5956 716
5037 7394 6
5554 7036 -112
2145 6356 -98
4587 922 168
7704 4398 971
4553 7804 243
8077 3731 511
3519 2167 -627
3105 3909 -520
3840 7447 919
1142 2686 932
7802 6226 -260
2721 6301 136
6988 8183 237
7882 187 19
6930 1019 77
1871 3542 604
1951 2091 -324
6931 7408 -861
6372 4696 703
1801 7142 -967
886 1810 39
1707 6210 -448
1053 1545 -312
282 5843 483
4381 6920 -664
7192 959 -851
2119 2085 343
291 4815 351
3912 7503 772
2430 6012 353
3915 7112 -182
1006 6312 -961
8464 211 839
3490 4780 -238
5398 2361 56
4559 256 914
2140 5712 -589
3986 2485 817
1078 697 929
2123 1336 696
2874 2372 -584
1653 3814 263
5622 6870 -649
1818 63 41
1023 1566 316
1611 1022 -126
455 2153 506
700 1555 681
176 5911 992
1812 292 836
7122 3722 -472
7613 6100 -33
8343 2566 -213
4891 5592 -123
1499 4802 71
2078 2817 -426
7923 2839 -599
5574 6126 -903
6480 8143 78
4597 2336 973
318 5972 -473
3830 6006 -62
6322 7108 -247
7438 5852 442
600 4760 -876
2541 1570 -914
1574 202 -93
4818 7529 208
529 7572 886
3258 8056 -215
3132 6092 -31
1153 4302 529
4535 1188 759
3991 7008 282
5558 5865 -162
7809 8393 -493
2064 4681 -272
7765 4192 245
7421 4824 733
5971 4636 905
4915 3322 -234
5756 4600 286
1922 7891 -270
4216 2291 866
4019 8433 446
4545 1185 141
8205 1877 -864
1628 5798 564
621 1908 350
4910 734 651
1186 2648 483
2426 4940 177
6686 2517 -911
1315 5309 -315
2990 6764 331
1871 1503 301
6289 7043 181
1441 8252 -573
4929 1426 795
4044 482 418
1065 7806 -390
2988 3917 157
6808 5461 431
759 1465 609
2995 6171 89
7855 7124 963
4574 3148 -581
8431 7993 582
3208 4697 -520
6541 5758 -761
5146 7258 -678
4592 1384 693
450 7798 -456
7496 503 928
482 6735 -679
932 6613 -404
557 5772 744
4603 6365 844
2279 868 -946
1465 8423 -722
652 6385 -603
5308 1123 587
6128 3744 -79
5551 8386 -705
3568 1669 592
2131 6145 -786
6615 2618 294
1380 6821 -749
6703 6324 -982
1933 5013 -865
3711 2017 846
8014 6945 406
4931 4121 -359
6025 525 345
2328 4977 -659
8145 5020 255
4455 3417 598
8294 6056 50
4552 3011 612
173 3620 -9
548 3362 -554
692 7681 578
5271 3442 -224
2795 4146 839
6377 8182 -529
6498 7970 274
7013 5588 -430
2104 7615 -695
2426 4228 148
5189 472 -872
680 1191 525
4747 3505 -818
7586 6306 854
1444 3724 48
4109 7985 513
3260 3948 782
1911 2482 272
7842 7391 -660
3711 4492 30
5778 2386 -992
4975 220 -312
2847 2929 605
3959 2246 -400
4199 1912 -741
7505 4297 437
1219 7506 619
6409 4912 -349
8002 5570 84
2303 4331 -688
5215 6981 -325
3919 4636 851
7784 4351 -108
7333 5015 -143
5068 3126 830
7332 1773 801
3591 2605 44
807 8313 78
3475 4506 59
4276 7662 623
4577 8098 376
399 4649 -724
1824 272 -894
4926 4624 734
6650 5430 -842
618 4854 531
2195 8273 696
7574 1632 628
2706 2163 381
6542 3134 799
3978 4701 -61
2395 2746 -283
6583 6627 -852
5730 617 -384
6910 7153 127
3566 6173 101
35 6803 -276
6257 2182 850
4256 4944 881
5962 7018 -530
772 1337 -31
6312 543 -260
6625 6647 949
3530 6761 -403
2000 5339 -536
7958 8419 344
735 8240 -130
3372 2214 684
3339 560 513
1101 5093 -100
5044 6441 -602
4330 5578 -710
8191 6409 -58
5458 371 696
3597 6460 477
4550 6897 743
8348 6701 539
3676 5127 -508
1821 5863 -19
7542 3613 710
5505 6421 314
6388 6057 384
1140 1758 527
8441 414 81
8238 6003 -829
6950 264 -741
4301 4158 687
665 8202 151
208 5278 384
3827 6060 389
5612 825 810
3140 6640 710
3298 6076 -101
45 2599 -778
8450 6820 -935
6595 5323 -742
1258 8451 -185
8367 3215 -784
258 8042 563
5760 1117 -246
6545 6161 408
5512 1442 -39
161 7688 -643
4102 1 609
2112 1565 -792
2561 7432 -358
5551 8050 314
4932 5259 649
3995 2062 -350
6409 6034 -32
4129 5671 301
3911 1377 828
2148 2651 301
2926 4523 754
3069 5527 50
2950 7851 -359
4906 6727 277
2097 2388 269
5826 5509 133
5107 5689 -918
7113 5168 374
5504 6284 612
6306 94 -838
6320 2803 793
8166 8077 -807
3767 331 -699
4551 5443 -252
2533 5452 -924
5063 546 242
1244 4622 -30
2453 3060 86
4841 4286 215
5531 3641 407
192 7074 -515
7924 8217 503
4099 3019 -697
2473 144 -465
5048 6232 194
4443 5575 45
1143 6138 618
3718 6910 458
1264 3304 763
897 1965 636
2413 7573 -86
6651 6465 -552
4020 6703 807
938 5562 368
3548 6170 483
5729 511 363
4643 6601 -342
2818 3565 9
7447 5408 -420
1522 3932 -577
4737 1718 -174
1280 6786 -418
753 5678 684
7449 4573 -229
4994 4184 780
1705 2634 -664
1639 2983 -846
6127 5309 151
2558 6989 -307
2088 6098 -501
2039 3859 -539
8310 2351 -999
2418 2613 254
1191 116 466
6356 551 -944
7221 4601 212
2886 5615 -202
629 1101 -560
7968 7122 617
2170 3438 -981
1176 3941 -811
329 324 87
3748 7007 -809
973 6576 -134
6758 3451 -563
6431 6849 -925
4953 1222 -791
4440 2101 454
2902 5762 809
709 5929 251
7847 1127 301
5835 7013 -318
1218 5276 -701
1184 2915 246
5311 6802 144
6488 8073 -112
565 1219 -20
6184 8082 405
5757 122 -563
2893 5089 200
3584 7950 -642
1872 2157 571
1149 4167 -108
3699 3503 523
5822 947 -848
4091 1292 434
5862 5510 -471
5390 6462 -142
1722 5282 -83
1232 2528 868
2904 3036 -806
3912 4372 -614
365 375 -910
1299 7499 -168
2027 2637 -824
535 2193 -715
2459 4076 -172
390 2346 424
521 6221 -125
2139 5327 -471
7645 7599 407
547 2305 -401
7388 6789 415
1441 3822 610
1911 2597 869
8344 1424 -906
4202 3688 730
1388 5690 -738
440 7757 -475
6688 8142 491
2044 5396 -676
2614 2553 533
3099 6099 423
550 6500 299
1372 937 -426
1473 1182 451
3788 6621 138
7939 375 996
1574 7772 726
7882 1673 312
6302 2140 -112
882 7594 682
6672 6212 -572
188 7099 754
805 1454 -96
3838 6334 332
8439 8335 272
4322 7520 -326
6069 6956 804
7267 3812 657
2415 4534 -840
8317 527 432
2055 4830 40
5847 2626 -816
4673 1303 856
3782 3216 95
571 1007 -898
2874 3237 734
7932 4553 37
3730 2286 -124
97 7812 -631
2533 114 465
7161 6298 444
2092 1075 -565
6113 867 -747
5382 7458 -192
599 7738 344
2441 5951 -808
1151 4049 -670
57 8365 116
597 5034 75
6611 2206 -667
1701 48 -855
3036 7822 -569
1042 627 -100
7114 3258 208
2821 5913 227
6227 7703 339
1011 5182 18
7472 1565 73
4442 7518 126
7096 6380 -537
1385 3535 503
3798 6404 246
3323 5682 969
7854 139 67
361 905 987
5468 6938 -999
5019 8308 415
4986 1833 -570
4471 920 -775
5230 8219 547
2694 6853 727
3825 4346 943
5481 1520 -143
737 214 311
1353 4926 -558
2872 1091 863
5999 7937 161
2714 5404 32
614 6831 -393
2212 184 58
889 7609 156
6707 2199 -241
8430 1182 636
7817 6382 808
6370 7771 133
3310 7180 -576
1186 994 322
5673 361 676
3109 6574 -575
4965 6074 -106
6958 1269 -41
6150 4146 -480
8201 3243 -965
5544 145 735
6419 6491 811
2989 5301 -843
7623 7343 -336
6943 1379 141
7367 6127 -34
139 867 -641
5363 2734 -564
6239 6679 241
6121 3861 -677
1404 346 975
8450 2731 384
1378 3996 -765
894 1473 837
5049 6309 -318
3495 1637 524
1844 6743 599
3649 3051 -98
7140 189 795
8028 6743 650
6970 3120 -654
3365 1580 -604
7637 3230 -734
1871 2588 -759
2449 6845 13
6328 6730 319
6723 4908 950
3574 267 632
7679 8284 -469
8253 4644 290
957 1105 725
4640 1488 256
5237 6044 -108
6167 4353 -712
5069 3631 -622
6584 412 560
5023 361 779
3953 5454 -411
2145 3777 703
328 1661 488
1234 1453 -69
6280 1550 -63
3800 5455 -522
3327 7402 120
1812 3600 874
2817 3382 -421
5231 8497 -147
5710 1063 743
5716 3394 147
5450 5976 648
1674 6815 660
247 3186 -328
6489 530 -631
3605 989 -439
4768 7713 658
8026 1217 -707
2959 5068 -504
3406 6573 459
8387 7739 -184
209 4718 -692
1652 8308 96
4225 251 81
8081 3979 -194
7242 6577 -949
5346 1508 -194
6771 1081 -295
2964 2611 390
1622 1848 566
2716 6247 -364
256 2158 937
5430 4683 -805
7579 3995 574
3098 7877 -111
8370 1236 584
1913 8486 -58
843 1577 -207
2880 1149 632
7688 7062 786
2043 8144 381
4578 3 646
1785 7125 774
3167 7775 -382
2019 5353 110
8277 3877 -172
4355 6566 -834
7155 8407 -310
5491 2740 -465
213 6825 -184
1700 5299 277
2509 1501 -821
7586 6062 -290
4340 6498 294
1443 2312 -33
3016 2302 306
2925 2502 -818
526 1303 -167
7976 7061 567
777 6741 761
1200 67 -229
7104 364 76
750 4957 -776
1207 6161 -103
2385 4472 -626
724 7649 -537
3401 7206 -498
7765 1251 235
8096 5738 204
7164 7706 -783
1782 8308 554
7371 4422 -705
5282 7232 764
1251 904 963
5776 876 -736
2063 7095 -761
3862 6199 -700
2864 1214 -790
2226 2801 741
4603 3195 388
6885 6284 94
7158 6778 -995
128 3644 548
3575 3264 -435
912 7770 938
3954 1847 -764
5418 4501 -241
4507 8220 -166
1945 1383 710
5860 5228 -235
5443 562 -398
1486 4786 -594
4105 993 -290
7335 1110 -883
785 4092 746
