885 2770
339 124 624
18 781 769
275 849 439
385 197 331
653 400 51
248 469 703
442 314 796
19 298 731
801 756 833
159 25 61
778 621 146
399 216 309
312 561 990
651 170 883
514 268 889
86 287 265
853 196 256
116 155 928
523 593 298
690 250 120
49 526 358
832 266 608
873 718 577
682 262 48
472 553 101
308 321 575
703 767 73
678 486 492
398 689 420
231 241 854
861 135 595
439 319 51
145 512 899
423 548 392
52 571 127
708 197 458
680 30 421
400 386 468
150 288 891
864 441 912
319 301 228
427 558 912
765 616 119
181 691 709
48 531 883
387 439 830
300 714 327
706 751 247
416 313 30
724 218 472
689 860 341
455 824 400
200 726 424
99 452 202
518 309 975
569 444 772
120 464 7
250 148 814
356 875 843
366 344 352
486 623 950
819 258 561
700 118 566
588 357 869
766 67 580
825 101 270
874 550 607
741 285 334
442 179 760
415 359 551
163 416 546
151 547 685
676 863 143
96 299 598
730 57 117
823 481 604
272 717 666
191 96 316
539 536 152
399 493 558
452 772 783
530 520 265
174 128 440
738 701 413
211 730 317
325 332 1
326 702 986
438 549 254
212 481 826
336 19 848
42 571 503
615 856 292
814 382 606
37 6 182
35 381 269
820 488 97
297 191 895
155 140 629
719 477 287
582 496 199
190 501 963
547 742 106
549 821 802
866 13 517
478 654 526
684 843 506
837 433 980
507 691 177
605 470 311
59 870 477
756 171 879
501 691 821
538 760 457
805 34 813
14 697 811
199 750 840
263 625 69
851 345 538
131 437 547
73 34 917
62 34 19
878 876 949
413 584 245
879 694 788
554 783 563
290 213 728
515 361 41
784 506 34
239 118 649
393 355 857
399 541 55
880 175 97
485 99 854
721 38 672
542 324 104
876 27 210
174 613 502
167 736 59
838 486 517
427 650 744
682 790 814
208 228 653
775 543 812
830 256 917
699 885 748
523 586 503
17 68 994
330 117 113
116 684 954
562 275 565
679 295 489
322 528 323
510 780 680
772 39 691
291 548 517
657 203 985
538 213 539
523 552 140
76 415 168
311 462 704
593 144 688
582 267 862
261 776 723
33 153 945
874 564 207
477 589 612
753 856 350
342 585 977
831 104 83
167 9 814
177 211 243
343 654 704
179 860 716
189 18 934
659 312 848
136 471 715
846 753 41
579 485 346
784 195 372
432 820 161
232 138 504
834 449 691
180 629 626
653 791 190
314 783 728
622 233 930
74 414 899
44 467 956
127 327 376
74 36 898
219 370 682
14 2 472
151 838 265
423 595 796
719 846 450
786 46 107
825 680 81
867 517 929
834 301 199
75 264 739
340 58 608
869 145 334
554 141 867
561 793 41
814 29 104
714 335 821
702 279 96
791 530 379
202 778 25
124 363 707
37 670 795
748 818 551
684 407 939
78 327 843
706 125 655
834 698 807
470 286 945
443 500 795
608 40 544
386 605 64
127 320 410
747 135 113
217 378 626
200 618 470
135 779 119
566 316 940
739 704 320
590 420 411
1 333 122
418 649 639
248 267 316
165 71 348
368 243 652
66 851 168
694 607 831
569 649 299
115 30 793
542 31 946
355 222 155
274 578 726
309 756 128
493 120 721
705 37 932
885 265 38
310 518 864
474 28 751
287 277 594
368 70 985
116 882 39
106 313 839
798 261 60
125 107 431
560 73 978
188 378 684
436 620 320
740 38 146
815 346 485
605 111 520
360 413 650
824 718 518
525 493 392
59 529 231
205 540 581
162 735 750
104 62 914
321 392 825
466 346 977
338 61 256
840 645 20
146 788 382
22 49 852
426 511 621
606 381 147
753 487 700
444 55 438
686 822 552
383 193 705
22 589 8
841 575 142
80 879 994
214 139 793
80 626 302
85 570 66
402 85 496
81 7 745
630 603 349
99 262 863
233 41 974
245 243 86
40 58 355
66 722 291
113 537 782
344 175 645
111 510 47
19 121 520
87 618 98
148 797 362
625 509 210
622 582 897
295 239 200
882 15 256
231 13 12
76 626 736
273 206 346
445 623 739
524 273 134
309 819 277
480 226 471
802 851 166
465 452 250
754 848 662
665 607 178
717 693 862
276 550 36
239 76 162
547 466 355
697 230 700
71 220 358
22 644 400
483 438 826
179 637 107
776 287 505
578 82 137
129 444 382
456 607 277
48 84 590
347 466 112
456 489 377
584 715 391
103 24 966
217 708 449
394 639 996
81 321 867
160 794 207
628 172 462
130 56 405
766 287 347
802 577 623
99 130 148
76 470 157
157 516 577
262 314 701
363 586 674
812 855 969
745 420 76
55 334 477
812 458 483
29 630 195
159 645 965
332 593 309
712 30 797
802 881 409
341 165 364
699 555 404
476 227 422
740 872 64
27 164 769
206 316 825
219 525 835
383 633 348
722 37 7
241 630 845
4 757 975
684 667 978
217 275 548
806 289 192
501 311 511
621 596 123
64 762 505
130 638 144
871 612 285
662 796 124
6 27 736
430 425 157
156 505 497
89 199 671
738 349 708
382 260 421
425 46 584
579 666 480
54 685 118
428 143 53
166 709 986
247 645 956
840 202 814
771 280 212
94 540 676
733 489 719
412 143 707
770 234 919
513 74 854
280 91 542
41 214 877
658 95 508
581 718 193
115 225 670
341 209 154
431 155 155
368 527 49
271 5 892
211 497 510
587 300 363
262 794 807
536 331 600
163 120 457
741 440 950
716 874 600
94 521 397
35 760 4
87 313 176
785 812 327
820 230 681
666 663 277
678 276 963
617 674 204
790 328 754
787 68 274
296 59 818
345 498 707
254 698 133
589 449 305
398 97 554
355 477 846
241 557 249
853 119 60
210 658 288
99 701 809
88 339 542
348 38 522
493 504 910
330 175 341
419 172 472
878 447 814
739 656 585
786 399 483
371 832 225
168 140 710
54 106 724
706 587 861
284 822 990
473 300 16
716 332 542
32 165 563
741 268 616
272 820 366
251 694 178
75 635 519
320 297 547
425 698 274
311 556 639
789 10 315
362 522 967
39 467 894
872 549 30
810 629 557
594 725 908
329 692 635
694 767 740
226 494 958
837 339 818
602 366 79
403 328 343
505 143 478
789 241 679
778 588 217
405 294 110
776 859 374
72 878 503
103 502 684
619 209 633
413 311 188
246 265 889
371 232 45
567 32 746
754 795 297
528 460 675
833 594 38
218 32 809
508 331 517
318 354 784
553 554 938
605 178 188
525 582 36
94 361 251
260 119 730
574 658 546
679 386 135
602 187 603
391 192 649
505 745 357
387 210 720
698 350 38
35 12 67
468 53 29
789 496 594
41 493 943
373 178 314
745 526 665
669 320 509
844 478 217
199 394 921
164 754 917
394 618 783
852 512 616
808 339 480
693 168 119
537 532 497
554 415 293
250 200 324
388 270 579
329 626 476
555 379 640
869 287 647
263 56 624
635 518 542
786 449 569
803 547 36
232 799 589
806 818 143
204 189 151
551 508 389
491 180 528
511 193 825
665 144 257
3 552 780
369 477 712
144 26 223
233 653 712
454 813 940
758 495 393
672 540 65
611 249 144
577 707 229
603 195 590
583 248 360
486 420 212
368 539 557
474 586 634
528 871 896
629 871 923
252 194 471
884 544 658
552 174 825
838 459 464
601 797 202
315 84 752
244 38 285
648 312 622
827 437 860
134 552 335
71 238 707
241 188 572
468 477 824
139 32 755
319 670 430
578 875 982
481 254 267
179 556 35
683 260 545
202 158 586
546 555 782
225 404 768
309 560 26
847 687 915
442 483 49
407 437 631
186 458 636
525 118 557
365 51 536
822 375 772
314 442 801
120 857 834
245 144 960
84 660 898
710 101 379
119 354 412
4 219 39
648 682 124
311 504 135
712 594 32
520 855 278
854 209 401
665 343 273
354 493 155
263 852 88
365 449 437
771 488 711
203 93 366
840 533 502
250 330 386
605 343 576
8 865 693
234 873 145
772 793 106
682 670 395
672 624 842
9 611 749
310 86 668
850 470 504
179 459 941
743 780 528
780 768 173
850 704 87
140 301 31
201 257 175
95 176 544
422 286 352
85 515 765
735 662 74
746 413 408
257 40 610
827 555 847
229 783 29
773 610 973
104 42 583
317 431 348
573 394 763
19 364 904
520 542 813
42 424 787
340 702 572
193 384 886
842 406 441
839 584 589
483 222 207
19 746 336
52 468 537
194 885 23
70 527 688
55 288 492
597 585 803
167 602 259
740 509 981
674 724 830
657 687 454
540 555 526
396 225 807
186 402 289
795 667 180
385 586 618
244 152 372
788 359 895
416 160 979
501 696 814
433 175 582
448 515 553
677 751 149
794 541 887
56 171 238
344 108 971
113 584 924
754 574 688
402 846 797
508 418 303
748 286 664
317 610 82
452 58 664
485 532 472
443 496 745
761 361 118
583 472 82
511 518 511
582 644 441
175 227 140
254 557 766
651 243 423
564 486 829
557 587 320
720 420 762
709 453 83
706 882 311
603 485 730
636 192 912
64 11 940
848 831 963
507 616 92
610 530 200
788 595 951
217 490 235
217 871 485
706 233 59
393 95 201
501 413 329
574 433 78
30 253 817
403 363 319
159 259 945
165 140 264
803 33 198
275 843 414
409 204 896
747 770 233
177 478 34
824 206 240
377 231 599
554 770 273
883 879 343
799 746 200
836 334 114
307 718 860
823 249 474
882 336 1000
2 802 983
642 650 539
276 28 689
500 33 541
407 150 676
489 451 889
399 427 64
280 558 310
31 97 289
486 226 370
472 226 43
480 610 561
731 119 46
73 94 540
465 413 977
458 836 819
21 608 479
832 567 523
213 71 860
487 809 237
158 884 616
601 785 725
306 136 688
145 442 408
520 89 462
364 603 88
442 116 843
758 182 596
48 508 110
705 569 661
666 482 490
744 782 343
144 432 58
33 55 783
540 196 739
324 857 68
863 309 82
796 666 913
382 810 428
662 377 987
194 254 737
581 151 213
600 100 891
146 767 655
259 42 604
885 644 214
839 368 497
343 823 137
838 648 562
130 23 14
201 814 977
509 690 24
400 551 453
331 434 440
689 519 661
845 473 246
624 27 72
601 557 139
31 156 376
464 216 911
333 526 206
108 476 179
293 602 951
727 807 908
132 296 93
510 801 372
353 329 970
173 838 225
497 152 530
475 338 964
283 634 696
180 778 901
531 721 701
657 848 810
588 848 846
591 337 448
694 559 418
601 469 8
835 86 237
655 825 130
272 84 443
22 62 862
212 583 533
492 535 342
643 667 145
638 573 794
1 641 948
238 736 163
841 185 380
232 316 543
111 601 280
433 85 630
443 242 437
415 554 717
276 210 884
110 732 773
251 631 882
534 349 770
690 298 408
470 537 747
343 653 449
476 575 680
884 594 970
878 404 49
593 216 912
397 369 100
566 131 456
816 204 54
752 144 859
506 697 479
164 526 772
716 703 763
391 316 663
631 607 815
258 261 649
251 290 688
729 632 722
794 782 874
515 784 516
425 76 364
726 10 945
514 268 548
709 47 847
234 338 613
633 876 755
45 519 176
540 41 17
120 711 970
295 789 518
645 677 587
305 349 115
341 178 505
880 186 659
520 753 357
73 281 625
733 187 849
304 807 871
436 216 651
45 755 31
452 270 117
41 788 645
275 130 108
822 273 242
488 758 654
129 647 765
370 748 629
758 321 118
571 321 685
604 342 984
311 151 191
295 337 191
313 364 101
466 816 175
525 560 484
460 205 645
811 110 282
182 653 176
806 172 792
186 214 838
68 682 120
466 557 942
443 493 554
436 99 679
535 254 938
203 516 641
792 592 109
398 283 162
507 713 527
54 336 39
596 762 958
328 460 260
38 477 624
109 813 277
600 506 555
358 613 91
290 361 172
219 809 11
286 292 133
639 505 789
503 623 692
399 171 727
839 464 104
786 643 903
643 877 265
802 637 357
535 593 757
532 325 389
39 55 675
147 768 289
1 101 352
881 557 339
108 539 146
554 624 863
168 308 871
304 163 683
591 569 51
696 736 228
745 531 895
619 732 595
687 304 657
266 775 872
283 726 977
605 758 595
139 142 495
882 124 689
368 302 559
630 569 132
487 768 984
336 473 238
723 147 1000
336 387 501
738 773 564
355 149 860
239 768 425
331 732 736
678 677 759
344 754 326
510 522 334
600 285 759
672 430 482
738 439 103
231 321 931
702 542 814
472 99 625
571 586 707
29 51 409
536 69 957
718 469 8
771 868 93
730 885 786
656 847 233
342 162 91
36 596 521
86 596 581
47 456 88
307 749 928
523 53 137
624 407 260
583 60 48
123 872 327
471 691 8
674 22 973
383 369 434
636 366 179
654 303 357
341 166 192
409 455 639
357 14 619
153 580 96
592 155 479
344 706 244
593 152 819
439 258 730
125 312 691
231 255 182
478 636 359
774 177 139
306 40 250
826 414 465
193 480 840
390 363 887
369 348 792
571 424 245
534 797 201
384 324 861
743 757 899
119 35 918
852 698 339
602 639 541
119 690 98
81 525 511
352 819 994
718 748 985
299 123 732
554 18 4
456 490 550
547 228 794
791 393 710
564 526 579
833 725 699
767 121 214
715 864 479
94 592 909
326 313 349
871 686 996
223 646 447
216 748 47
581 621 144
828 824 470
511 371 740
137 180 594
796 346 143
693 19 324
434 372 823
412 722 369
161 750 201
718 105 465
714 645 667
397 795 739
189 211 625
504 572 858
860 302 281
414 312 154
270 810 183
721 194 756
678 242 765
321 565 716
208 698 649
275 226 358
687 700 317
265 39 303
681 786 394
185 828 893
469 673 286
688 420 57
81 221 443
717 61 173
635 93 848
663 643 183
117 62 208
214 753 279
326 453 986
217 802 997
775 550 136
166 486 428
676 39 860
528 814 556
846 666 662
30 579 991
491 807 864
722 60 35
378 139 821
68 307 353
782 38 701
749 221 706
191 312 983
541 584 226
750 48 49
175 879 391
544 362 363
403 431 469
422 157 997
309 354 249
181 131 467
172 444 264
96 27 487
792 100 911
341 464 949
267 638 887
69 565 58
201 412 142
82 109 805
765 568 887
583 451 101
625 527 679
456 143 21
323 330 696
633 520 826
828 148 746
802 378 34
559 312 867
113 576 279
726 591 576
115 780 955
672 359 928
78 451 897
750 345 345
463 409 943
224 460 153
182 265 50
785 311 455
153 526 438
119 843 890
13 423 97
867 115 346
575 348 961
591 198 610
394 589 820
241 544 614
831 496 284
561 273 527
448 535 942
733 271 299
257 699 342
201 623 965
478 432 692
840 340 687
824 16 110
248 61 995
779 881 81
260 875 997
618 736 789
849 772 432
549 525 581
440 557 461
161 444 761
440 305 374
173 337 910
194 308 731
791 136 826
733 631 724
821 274 258
273 710 679
456 524 562
345 631 323
795 220 992
277 293 714
737 385 80
661 250 91
657 863 911
827 731 779
837 99 706
362 73 48
136 519 165
493 52 171
847 73 339
703 407 207
576 38 655
712 55 374
500 784 485
173 172 959
207 310 950
262 728 310
425 334 850
804 687 671
29 314 606
298 634 339
509 379 974
343 806 225
824 233 300
363 410 856
119 195 764
881 763 13
508 522 841
763 379 329
559 352 455
310 682 518
841 715 870
338 318 663
520 7 644
357 371 74
37 476 61
128 255 709
485 672 336
105 668 932
532 486 533
585 466 277
279 775 339
112 160 520
512 436 191
797 392 29
672 345 735
118 796 729
62 571 155
616 56 922
673 765 268
617 100 849
475 343 553
119 98 596
382 209 820
186 703 540
372 544 760
675 636 684
341 448 867
828 462 445
708 831 25
810 92 515
296 687 678
531 232 613
849 141 812
10 408 97
63 247 256
131 480 746
668 447 617
46 568 875
152 634 848
868 355 115
632 81 236
614 250 268
540 721 154
388 172 266
638 689 598
53 599 122
562 623 353
628 553 726
524 401 592
435 656 952
747 686 41
385 43 395
686 444 51
43 247 776
16 324 483
738 572 266
717 514 606
297 578 969
252 473 920
350 310 89
426 876 392
311 238 660
757 531 616
478 598 369
19 651 293
340 264 842
92 378 819
867 643 901
215 112 478
57 56 675
723 395 697
309 108 447
582 483 180
181 91 897
210 281 834
609 816 506
646 110 175
486 363 364
424 108 442
515 213 8
416 271 511
379 332 500
285 559 472
850 354 851
164 247 203
141 11 403
172 51 345
488 248 354
517 760 893
717 627 481
159 491 357
752 712 800
339 513 281
168 58 980
758 188 321
389 478 3
564 633 816
685 37 227
631 788 112
10 276 606
92 824 837
720 884 70
202 499 609
783 476 22
552 15 78
35 210 777
97 181 707
387 48 3
641 120 1000
451 598 363
583 427 910
782 350 844
777 558 463
80 737 754
9 726 788
337 595 633
416 103 589
221 126 970
369 220 279
879 19 542
6 28 371
541 311 869
440 486 743
50 642 251
76 20 578
127 426 98
438 323 59
286 247 718
686 243 45
601 596 675
431 202 909
747 469 797
713 586 291
847 484 562
332 546 125
884 867 520
14 242 796
800 468 258
365 122 441
587 640 44
836 384 579
337 204 689
145 172 936
295 516 699
631 522 700
842 718 377
216 2 83
221 290 590
739 1 239
430 365 537
456 364 776
184 439 828
440 705 385
4 412 40
473 872 855
802 409 507
223 710 651
480 739 434
692 347 186
708 444 886
567 189 362
25 795 189
754 76 83
639 125 23
573 202 281
323 599 550
657 615 30
660 642 421
729 139 994
493 362 904
797 756 835
208 25 609
260 884 91
656 444 857
708 23 189
132 157 219
253 767 834
718 848 874
397 225 687
1 80 685
800 539 604
221 707 334
616 714 554
162 475 503
747 273 990
846 745 154
594 546 462
523 701 153
768 579 263
829 267 717
829 399 122
738 107 952
248 38 515
560 529 260
579 480 618
239 158 279
77 208 366
424 407 396
462 655 461
281 521 81
769 55 564
553 636 520
798 424 141
815 645 70
378 607 735
98 179 38
346 293 637
535 855 733
815 131 680
543 775 528
796 293 615
871 719 492
484 837 283
193 690 767
502 235 769
641 21 295
106 820 474
38 488 220
662 22 383
507 864 723
757 832 596
558 751 379
864 396 941
798 158 440
404 31 962
257 458 669
801 322 675
513 469 458
151 499 680
183 36 153
579 562 403
25 512 233
441 306 660
485 594 543
132 661 410
282 168 130
532 272 807
213 475 944
464 429 342
684 9 606
514 748 273
293 852 421
424 273 931
229 694 26
634 473 197
705 414 35
642 170 656
820 539 735
273 36 584
671 119 937
281 510 938
218 493 807
357 875 969
422 553 173
336 813 113
268 212 379
882 682 202
470 595 82
577 118 93
499 294 416
789 15 748
224 740 881
679 217 914
768 283 365
788 459 664
427 477 270
573 482 862
529 762 425
807 90 72
866 278 580
532 607 956
811 437 563
423 546 138
190 322 511
187 700 257
378 556 805
268 129 397
405 752 487
650 53 788
811 861 46
730 17 173
806 445 137
513 698 630
466 530 960
109 384 380
471 667 811
788 878 412
838 822 423
636 465 692
476 434 748
389 167 646
714 503 183
830 652 287
799 17 930
425 618 23
415 793 13
366 147 557
393 655 866
147 255 638
471 541 437
481 676 639
1 670 907
646 832 317
385 174 799
636 241 734
171 423 893
401 285 299
597 441 398
826 774 116
749 300 25
688 203 647
265 513 242
569 860 641
22 664 764
465 216 857
361 400 712
661 289 963
189 533 402
778 184 349
732 495 981
827 630 797
155 585 64
377 389 275
398 784 778
322 458 714
79 393 306
788 695 371
342 359 84
768 654 246
357 799 229
320 315 866
34 45 275
54 361 285
267 473 731
795 743 159
686 715 417
261 500 405
135 535 199
130 615 400
537 411 746
573 267 449
604 592 933
425 432 739
833 197 558
532 646 48
297 345 411
712 856 103
307 585 859
199 100 772
885 831 785
576 849 819
559 558 922
592 310 714
347 723 583
804 114 528
779 146 880
506 759 536
228 382 150
36 204 79
170 633 188
553 166 823
223 383 395
357 661 888
